Code,Subdivision name,Subdivision category,Parent subdivision
NL-FL,Flevoland,province,NL
NL-FR,Fryslân (fy),province,NL
NL-GE,Gelderland,province,NL
NL-GR,Groningen,province,NL
NL-LI,Limburg,province,NL
NL-NB,Noord-Brabant,province,NL
NL-NH,Noord-Holland,province,NL
NL-OV,Overijssel,province,NL
NL-UT,Utrecht,province,NL
NL-ZE,Zeeland,province,NL
NL-ZH,Zuid-Holland,province,NL
NO-01,Østfold,county,NO
NO-02,Akershus,county,NO
NO-03,Oslo,county,NO
NO-04,Hedmark,county,NO
NO-05,Oppland,county,NO
NO-06,Buskerud,county,NO
NO-07,Vestfold,county,NO
NO-08,Telemark,county,NO
NO-09,Aust-Agder,county,NO
NO-10,Vest-Agder,county,NO
NO-11,Rogaland,county,NO
NO-12,Hordaland,county,NO
NO-14,Sogn og Fjordane,county,NO
NO-15,Møre og Romsdal,county,NO
NO-16,Sør-Trøndelag,county,NO
NO-17,Nord-Trøndelag,county,NO
NO-18,Nordland,county,NO
NO-19,Troms / Romsa (se),county,NO
NO-20,Finnmark / Finnmárku (se),county,NO
NP-1,Central,development region,NP
NP-2,Mid Western,development region,NP
NP-3,Western,development region,NP
NP-4,Eastern,development region,NP
NP-5,Far Western,development region,NP
NR-01,Aiwo,district,NR
NR-02,Anabar,district,NR
NR-03,Anetan,district,NR
NR-04,Anibare,district,NR
NR-05,Baitsi,district,NR
NR-06,Boe,district,NR
NR-07,Buada,district,NR
NR-08,Denigomodu,district,NR
NR-09,Ewa,district,NR
NR-10,Ijuw,district,NR
NR-11,Meneng,district,NR
NR-12,Nibok,district,NR
NR-13,Uaboe,district,NR
NR-14,Yaren,district,NR
NU,(No regions),,NU
NZ-AUK,Auckland,region,NZ
NZ-BOP,Bay of Plenty,region,NZ
NZ-CAN,Canterbury,region,NZ
NZ-CIT,Chatham Islands Territory,special island authority,NZ
NZ-GIS,Gisborne,region,NZ
NZ-HKB,Hawke's Bay,region,NZ
NZ-MBH,Marlborough,region,NZ
NZ-MWT,Manawatu-Wanganui,region,NZ
NZ-NSN,Nelson,region,NZ
NZ-NTL,Northland,region,NZ
NZ-OTA,Otago,region,NZ
NZ-STL,Southland,region,NZ
NZ-TAS,Tasman,region,NZ
NZ-TKI,Taranaki,region,NZ
NZ-WGN,Wellington,region,NZ
NZ-WKO,Waikato,region,NZ
NZ-WTC,West Coast,region,NZ
OM-BJ,Janūb al Bāţinah,governorate,OM
OM-BS,Shamāl al Bāţinah,governorate,OM
OM-BU,Al Buraymī,governorate,OM
OM-DA,Ad Dākhilīyah,governorate,OM
OM-MA,Masqaţ,governorate,OM
OM-MU,Musandam,governorate,OM
OM-SJ,Janūb ash Sharqīyah,governorate,OM
OM-SS,Shamāl ash Sharqīyah,governorate,OM
OM-WU,Al Wusţá,governorate,OM
OM-ZA,Az̧ Z̧āhirah,governorate,OM
OM-ZU,Z̧ufār,governorate,OM
PE-AMA,Amazonas,region,PE
PE-ANC,Ancash,region,PE
PE-APU,Apurímac,region,PE
PE-ARE,Arequipa,region,PE
PE-AYA,Ayacucho,region,PE
PE-CAJ,Cajamarca,region,PE
PE-CAL,El Callao,region,PE
PE-CUS,Cusco,region,PE
PE-HUC,Huánuco,region,PE
PE-HUV,Huancavelica,region,PE
PE-ICA,Ica,region,PE
PE-JUN,Junín,region,PE
PE-LAL,La Libertad,region,PE
PE-LAM,Lambayeque,region,PE
PE-LIM,Lima,region,PE
PE-LOR,Loreto,region,PE
PE-MDD,Madre de Dios,region,PE
PE-MOQ,Moquegua,region,PE
PE-PAS,Pasco,region,PE
PE-PIU,Piura,region,PE
PE-PUN,Puno,region,PE
PE-SAM,San Martín,region,PE
PE-TAC,Tacna,region,PE
PE-TUM,Tumbes,region,PE
PE-UCA,Ucayali,region,PE
PF,(No regions),,PF
PG-CPK,Chimbu,province,PG
PG-CPM,Central,province,PG
PG-EBR,East New Britain,province,PG
PG-EHG,Eastern Highlands,province,PG
PG-EPW,Enga,province,PG
PG-ESW,East Sepik,province,PG
PG-GPK,Gulf,province,PG
PG-HLA,Hela,province,PG
PG-JWK,Jiwaka,province,PG
PG-MBA,Milne Bay,province,PG
PG-MPL,Morobe,province,PG
PG-MPM,Madang,province,PG
PG-MRL,Manus,province,PG
PG-NCD,National Capital District (Port Moresby),district,PG
PG-NIK,New Ireland,province,PG
PG-NPP,Northern,province,PG
PG-NSB,Bougainville,autonomous region,PG
PG-SAN,West Sepik,province,PG
PG-SHM,Southern Highlands,province,PG
PG-WBK,West New Britain,province,PG
PG-WHM,Western Highlands,province,PG
PG-WPD,Western,province,PG
PH-00,National Capital Region,region,PH
PH-01,Ilocos (Region I),region,PH
PH-02,Cagayan Valley (Region II),region,PH
PH-03,Central Luzon (Region III),region,PH
PH-05,Bicol (Region V),region,PH
PH-06,Western Visayas (Region VI),region,PH
PH-07,Central Visayas (Region VII),region,PH
PH-08,Eastern Visayas (Region VIII),region,PH
PH-09,Zamboanga Peninsula (Region IX),region,PH
PH-10,Northern Mindanao (Region X),region,PH
PH-11,Davao (Region XI),region,PH
PH-12,Soccsksargen (Region XII),region,PH
PH-13,Caraga (Region XIII),region,PH
PH-14,Autonomous Region in Muslim Mindanao (ARMM),region,PH
PH-15,Cordillera Administrative Region (CAR),region,PH
PH-40,Calabarzon (Region IV-A),region,PH
PH-41,Mimaropa (Region IV-B),region,PH
PK-BA,Balochistan,province,PK
PK-GB,Gilgit-Baltistan,province,PK
PK-IS,Islamabad,federal capital territory,PK
PK-JK,Azad Jammu and Kashmir,pakistan administered area,PK
PK-KP,Khyber Pakhtunkhwa,province,PK
PK-PB,Punjab,province,PK
PK-SD,Sindh,province,PK
PK-TA,Federally Administered Tribal Areas,territory,PK
PL-DS,Lower Silesia,province,PL
PL-KP,Kuyavia-Pomerania,province,PL
PL-LB,Lubusz,province,PL
PL-LD,Łódź,province,PL
PL-LU,Lublin,province,PL
PL-MA,Lesser Poland,province,PL
PL-MZ,Mazovia,province,PL
PL-OP,Opole (Upper Silesia),province,PL
PL-PD,Podlaskie,province,PL
PL-PK,Subcarpathia,province,PL
PL-PM,Pomerania,province,PL
PL-SK,Holy Cross,province,PL
PL-SL,Silesia,province,PL
PL-WN,Warmia-Masuria,province,PL
PL-WP,Greater Poland,province,PL
PL-ZP,West Pomerania,province,PL
PM,(No regions),,PM
PN,(No regions),,PN
PR,(No regions),,PR
PS,(No regions),,PS
PT-01,Aveiro,district,PT
PT-02,Beja,district,PT
PT-03,Braga,district,PT
PT-04,Bragança,district,PT
PT-05,Castelo Branco,district,PT
PT-06,Coimbra,district,PT
PT-07,Évora,district,PT
PT-08,Faro,district,PT
PT-09,Guarda,district,PT
PT-10,Leiria,district,PT
PT-11,Lisboa,district,PT
PT-12,Portalegre,district,PT
PT-13,Porto,district,PT
PT-14,Santarém,district,PT
PT-15,Setúbal,district,PT
PT-16,Viana do Castelo,district,PT
PT-17,Vila Real,district,PT
PT-18,Viseu,district,PT
PT-20,Azores (Açores),autonomous region,PT
PT-30,Madeira,autonomous region,PT
PW-002,Aimeliik,state,PW
PW-004,Airai,state,PW
PW-010,Angaur,state,PW
PW-050,Hatohobei,state,PW
PW-100,Kayangel,state,PW
PW-150,Koror,state,PW
PW-212,Melekeok,state,PW
PW-214,Ngaraard,state,PW
PW-218,Ngarchelong,state,PW
PW-222,Ngardmau,state,PW
PW-224,Ngatpang,state,PW
PW-226,Ngchesar,state,PW
PW-227,Ngeremlengui,state,PW
PW-228,Ngiwal,state,PW
PW-350,Peleliu,state,PW
PW-370,Sonsorol,state,PW
PY-1,Concepción,department,PY
PY-10,Alto Paraná,department,PY
PY-11,Central,department,PY
PY-12,Ñeembucú,department,PY
PY-13,Amambay,department,PY
PY-14,Canindeyú,department,PY
PY-15,Presidente Hayes,department,PY
PY-16,Alto Paraguay,department,PY
PY-19,Boquerón,department,PY
PY-2,San Pedro,department,PY
PY-3,Cordillera,department,PY
PY-4,Guairá,department,PY
PY-5,Caaguazú,department,PY
PY-6,Caazapá,department,PY
PY-7,Itapúa,department,PY
PY-8,Misiones,department,PY
PY-9,Paraguarí,department,PY
PY-ASU,Asunción,capital,PY
QA-DA,Doha,municipality,QA
QA-KH,Al Khor,municipality,QA
QA-MS,Madinat Ash Shamāl,municipality,QA
QA-RA,Al Rayyān,municipality,QA
QA-SH,Ash Shīḩānīyah,municipality,QA
QA-US,Umm Şalāl,municipality,QA
QA-WA,Al Wakrah,municipality,QA
QA-ZA,Al Daayen,municipality,QA
RE,(No regions),,RE
RO-AB,Alba,department,RO
RO-AG,Argeș,department,RO
RO-AR,Arad,department,RO
RO-B,București,municipality,RO
RO-BC,Bacău,department,RO
RO-BH,Bihor,department,RO
RO-BN,Bistrița-Năsăud,department,RO
RO-BR,Brăila,department,RO
RO-BT,Botoșani,department,RO
RO-BV,Brașov,department,RO
RO-BZ,Buzău,department,RO
RO-CJ,Cluj,department,RO
RO-CL,Călărași,department,RO
RO-CS,Caraș-Severin,department,RO
RO-CT,Constanța,department,RO
RO-CV,Covasna,department,RO
RO-DB,Dâmbovița,department,RO
RO-DJ,Dolj,department,RO
RO-GJ,Gorj,department,RO
RO-GL,Galați,department,RO
RO-GR,Giurgiu,department,RO
RO-HD,Hunedoara,department,RO
RO-HR,Harghita,department,RO
RO-IF,Ilfov,department,RO
RO-IL,Ialomița,department,RO
RO-IS,Iași,department,RO
RO-MH,Mehedinți,department,RO
RO-MM,Maramureș,department,RO
RO-MS,Mureș,department,RO
RO-NT,Neamț,department,RO
RO-OT,Olt,department,RO
RO-PH,Prahova,department,RO
RO-SB,Sibiu,department,RO
RO-SJ,Sălaj,department,RO
RO-SM,Satu Mare,department,RO
RO-SV,Suceava,department,RO
RO-TL,Tulcea,department,RO
RO-TM,Timiș,department,RO
RO-TR,Teleorman,department,RO
RO-VL,Vâlcea,department,RO
RO-VN,Vrancea,department,RO
RO-VS,Vaslui,department,RO
RS-VO,Vojvodina,autonomous province,RS
RU-AD,Adygea,republic,RU
RU-AL,Altay,republic,RU
RU-ALT,Altaysk krai,administrative territory,RU
RU-AMU,Amur oblast,administrative region,RU
RU-ARK,Arkhangelsk oblast,administrative region,RU
RU-AST,Astrakhan oblast,administrative region,RU
RU-BA,Bashkortostan,republic,RU
RU-BEL,Belgorod oblast,administrative region,RU
RU-BRY,Bryansk oblast,administrative region,RU
RU-BU,Buryatiya,republic,RU
RU-CE,Chechenskaya,republic,RU
RU-CHE,Chelyabinsk oblast,administrative region,RU
RU-CHU,Chukotska Autonomous District,autonomous district,RU
RU-CU,Chuvashskaya,republic,RU
RU-DA,Dagestan,republic,RU
RU-IN,Ingushetiya,republic,RU
RU-IRK,Irkutsk oblast,administrative region,RU
RU-IVA,Ivanovo oblast,administrative region,RU
RU-KAM,Kamchatka krai,administrative territory,RU
RU-KB,Kabardino-Balkarskaya,republic,RU
RU-KC,Karachayevo-Cherkesskaya,republic,RU
RU-KDA,Krasnodar krai,administrative territory,RU
RU-KEM,Kemerovo oblast,administrative region,RU
RU-KGD,Kaliningrad oblast,administrative region,RU
RU-KGN,Kurgan oblast,administrative region,RU
RU-KHA,Khabarovsk krai,administrative territory,RU
RU-KHM,Khanty-Mansiyska Autonomous District,autonomous district,RU
RU-KIR,Kirovsk oblast,administrative region,RU
RU-KK,Khakasiya,republic,RU
RU-KL,Kalmykiya,republic,RU
RU-KLU,Kaluga oblast,administrative region,RU
RU-KO,Komi,republic,RU
RU-KOS,Kostroma oblast,administrative region,RU
RU-KR,Kareliya,republic,RU
RU-KRS,Kursk oblast,administrative region,RU
RU-KYA,Krasnoyarsk krai,administrative territory,RU
RU-LEN,Leningrad oblast,administrative region,RU
RU-LIP,Lipetsk oblast,administrative region,RU
RU-MAG,Magadan oblast,administrative region,RU
RU-ME,Mariy El,republic,RU
RU-MO,Mordoviya,republic,RU
RU-MOS,Moscow oblast,administrative region,RU
RU-MOW,Moscow,autonomous city,RU
RU-MUR,Murmansk oblast,administrative region,RU
RU-NEN,Nenetska Autonomous District,autonomous district,RU
RU-NGR,Novgorod oblast,administrative region,RU
RU-NIZ,Nizhny Novogorod oblast,administrative region,RU
RU-NVS,Novosibirsk oblast,administrative region,RU
RU-OMS,Omsk oblast,administrative region,RU
RU-ORE,Orenburg oblast,administrative region,RU
RU-ORL,Oryol oblast,administrative region,RU
RU-PER,Perm krai,administrative territory,RU
RU-PNZ,Penza oblast,administrative region,RU
RU-PRI,Primorsky krai,administrative territory,RU
RU-PSK,Pskov oblast,administrative region,RU
RU-ROS,Rostovsky oblast,administrative region,RU
RU-RYA,Ryazan oblast,administrative region,RU
RU-SA,Sakha,republic,RU
RU-SAK,Sakhalin oblast,administrative region,RU
RU-SAM,Samara oblast,administrative region,RU
RU-SAR,Saratov oblast,administrative region,RU
RU-SE,Severnaya Osetiya-Alaniya,republic,RU
RU-SMO,Smolensk oblast,administrative region,RU
RU-SPE,Saint Petersburg,autonomous city,RU
RU-STA,Stravopol krai,administrative territory,RU
RU-SVE,Sverdlovsk oblast,administrative region,RU
RU-TA,Tatarstan,republic,RU
RU-TAM,Tambov oblast,administrative region,RU
RU-TOM,Tomsk oblast,administrative region,RU
RU-TUL,Tulsk oblast,administrative region,RU
RU-TVE,Tver oblast,administrative region,RU
RU-TY,Tyva,republic,RU
RU-TYU,Tyumen oblast,administrative region,RU
RU-UD,Udmurtskaya,republic,RU
RU-ULY,Ulyanovsk oblast,administrative region,RU
RU-VGG,Volgograd oblast,administrative region,RU
RU-VLA,Vladimir oblast,administrative region,RU
RU-VLG,Vologodsky oblast,administrative region,RU
RU-VOR,Voronezh oblast,administrative region,RU
RU-YAN,Yamalo-Nenetska Autonomous District,autonomous district,RU
RU-YAR,Yaroslavl oblast,administrative region,RU
RU-YEV,Jewish Autonomous Region,autonomous region,RU
RU-ZAB,Zabaykalsky krai,administrative territory,RU
RW-01,City of Kigali,city,RW
RW-02,Eastern,province,RW
RW-03,Northern,province,RW
RW-04,Western,province,RW
RW-05,Southern,province,RW
SA-01,Ar Riyāḑ,province,SA
SA-02,Makkah al Mukarramah,province,SA
SA-03,Al Madīnah al Munawwarah,province,SA
SA-04,Ash Sharqīyah,province,SA
SA-05,Al Qaşīm,province,SA
SA-06,Ḩā'il,province,SA
SA-07,Tabūk,province,SA
SA-08,Al Ḩudūd ash Shamālīyah,province,SA
SA-09,Jāzān,province,SA
SA-10,Najrān,province,SA
SA-11,Al Bāḩah,province,SA
SA-12,Al Jawf,province,SA
SA-14,'Asīr,province,SA
SB-CE,Central,province,SB
SB-CH,Choiseul,province,SB
SB-CT,Capital Territory (Honiara),capital territory,SB
SB-GU,Guadalcanal,province,SB
SB-IS,Isabel,province,SB
SB-MK,Makira-Ulawa,province,SB
SB-ML,Malaita,province,SB
SB-RB,Rennell and Bellona,province,SB
SB-TE,Temotu,province,SB
SB-WE,Western,province,SB
SC-01,Anse aux Pins,district,SC
SC-02,Anse Boileau,district,SC
SC-03,Anse Etoile,district,SC
SC-04,Au Cap,district,SC
SC-05,Anse Royale,district,SC
SC-06,Baie Lazare,district,SC
SC-07,Baie Sainte Anne,district,SC
SC-08,Beau Vallon,district,SC
SC-09,Bel Air,district,SC
SC-10,Bel Ombre,district,SC
SC-11,Cascade,district,SC
SC-12,Glacis,district,SC
SC-13,Grand Anse Mahe,district,SC
SC-14,Grand Anse Praslin,district,SC
SC-15,La Digue,district,SC
SC-16,English River,district,SC
SC-17,Mont Buxton,district,SC
SC-18,Mont Fleuri,district,SC
SC-19,Plaisance,district,SC
SC-20,Pointe Larue,district,SC
SC-21,Port Glaud,district,SC
SC-22,Saint Louis,district,SC
SC-23,Takamaka,district,SC
SC-24,Les Mamelles,district,SC
SC-25,Roche Caiman,district,SC
SD-DC,Central Darfur,state,SD
SD-DE,East Darfur,state,SD
SD-DN,North Darfur,state,SD
SD-DS,South Darfur,state,SD
SD-DW,West Darfur,state,SD
SD-GD,Gedaref,state,SD
SD-GK,West Kordofan,state,SD
SD-GZ,Gezira,state,SD
SD-KA,Kassala,state,SD
SD-KH,Khartoum,state,SD
SD-KN,North Kordofan,state,SD
SD-KS,South Kordofan,state,SD
SD-NB,Blue Nile,state,SD
SD-NO,Northern,state,SD
SD-NR,River Nile,state,SD
SD-NW,White Nile,state,SD
SD-RS,Red Sea,state,SD
SD-SI,Sennar,state,SD
SE-AB,Stockholm,county,SE
SE-AB,Stockholms län,county,SE
SE-AC,Västerbotten,county,SE
SE-AC,Västerbottens län,county,SE
SE-BD,Norrbotten,county,SE
SE-BD,Norrbottens län,county,SE
SE-C,Uppsala,county,SE
SE-C,Uppsala län,county,SE
SE-D,Södermanland,county,SE
SE-D,Södermanlands län,county,SE
SE-E,Östergötland,county,SE
SE-E,Östergötlands län,county,SE
SE-F,Jönköping,county,SE
SE-F,Jönköpings län,county,SE
SE-G,Kronoberg,county,SE
SE-G,Kronobergs län,county,SE
SE-H,Kalmar,county,SE
SE-H,Kalmar län,county,SE
SE-I,Gotland,county,SE
SE-I,Gotlands län,county,SE
SE-K,Blekinge,county,SE
SE-K,Blekinge län,county,SE
SE-M,Skåne,county,SE
SE-M,Skåne län,county,SE
SE-N,Hallands,county,SE
SE-N,Hallands län,county,SE
SE-O,Västra Götaland,county,SE
SE-O,Västra Götalands län,county,SE
SE-S,Värmland,county,SE
SE-S,Värmlands län,county,SE
SE-T,Örebro,county,SE
SE-T,Örebro län,county,SE
SE-U,Västmanland,county,SE
SE-U,Västmanlands län,county,SE
SE-W,Dalarnas,county,SE
SE-W,Dalarnas län,county,SE
SE-X,Gävleborg,county,SE
SE-X,Gävleborgs län,county,SE
SE-Y,Västernorrland,county,SE
SE-Y,Västernorrlands län,county,SE
SE-Z,Jämtland,county,SE
SE-Z,Jämtlands län,county,SE
SG-01,Central Singapore,district,SG
SG-02,North East,district,SG
SG-03,North West,district,SG
SG-04,South East,district,SG
SG-05,South West,district,SG
SH-AC,Ascension,geographical entity,SH
SH-HL,Saint Helena,geographical entity,SH
SH-TA,Tristan da Cunha,geographical entity,SH
SI,(No regions),,SI
SJ,(No regions),,SJ
SK-BC,Banska,region,SK
SK-BL,Bratislava,region,SK
SK-KI,Košicke,region,SK
SK-NI,Nitra,region,SK
SK-PV,Prešov,region,SK
SK-TA,Trnavska,region,SK
SK-TC,Trenčin,region,SK
SK-ZI,Žilina,region,SK
SL-E,Eastern,province,SL
SL-N,Northern,province,SL
SL-S,Southern,province,SL
SL-W,Western Area,area,SL
SM-01,Acquaviva,municipality,SM
SM-02,Chiesanuova,municipality,SM
SM-03,Domagnano,municipality,SM
SM-04,Faetano,municipality,SM
SM-05,Fiorentino,municipality,SM
SM-06,Borgo Maggiore,municipality,SM
SM-07,San Marino,municipality,SM
SM-08,Montegiardino,municipality,SM
SM-09,Serravalle,municipality,SM
SO-AW,Awdal,region,SO
SO-BK,Bakool,region,SO
SO-BN,Banaadir,region,SO
SO-BR,Bari,region,SO
SO-BY,Bay,region,SO
SO-GA,Galguduud,region,SO
SO-GE,Gedo,region,SO
SO-HI,Hiiraan,region,SO
SO-JD,Jubbada Dhexe,region,SO
SO-JH,Jubbada Hoose,region,SO
SO-MU,Mudug,region,SO
SO-NU,Nugaal,region,SO
SO-SA,Sanaag,region,SO
SO-SD,Shabeellaha Dhexe,region,SO
SO-SH,Shabeellaha Hoose,region,SO
SO-SO,Sool,region,SO
SO-TO,Togdheer,region,SO
SO-WO,Woqooyi Galbeed,region,SO
SR-BR,Brokopondo,district,SR
SR-CM,Commewijne,district,SR
SR-CR,Coronie,district,SR
SR-MA,Marowijne,district,SR
SR-NI,Nickerie,district,SR
SR-PM,Paramaribo,district,SR
SR-PR,Para,district,SR
SR-SA,Saramacca,district,SR
SR-SI,Sipaliwini,district,SR
SR-WA,Wanica,district,SR
SS-BN,Northern Bahr el Ghazal,state,SS
SS-BW,Western Bahr el Ghazal,state,SS
SS-EC,Central Equatoria,state,SS
SS-EE,Eastern Equatoria,state,SS
SS-EW,Western Equatoria,state,SS
SS-JG,Jonglei,state,SS
SS-LK,Lakes,state,SS
SS-NU,Upper Nile,state,SS
SS-UY,Unity,state,SS
SS-WR,Warrap,state,SS
ST-P,Príncipe,province,ST
ST-S,São Tomé,province,ST
SV-AH,Ahuachapán,department,SV
SV-CA,Cabañas,department,SV
SV-CH,Chalatenango,department,SV
SV-CU,Cuscatlán,department,SV
SV-LI,La Libertad,department,SV
SV-MO,Morazán,department,SV
SV-PA,La Paz,department,SV
SV-SA,Santa Ana,department,SV
SV-SM,San Miguel,department,SV
SV-SO,Sonsonate,department,SV
SV-SS,San Salvador,department,SV
SV-SV,San Vicente,department,SV
SV-UN,La Unión,department,SV
SV-US,Usulután,department,SV
SX,(No regions),,SX
SY-DI,Dimashq,province,SY
SY-DR,Dar'ā,province,SY
SY-DY,Dayr az Zawr,province,SY
SY-HA,Al Ḩasakah,province,SY
SY-HI,Ḩimş,province,SY
SY-HL,Ḩalab,province,SY
SY-HM,Ḩamāh,province,SY
SY-ID,Idlib,province,SY
SY-LA,Al Lādhiqīyah,province,SY
SY-QU,Al Qunayţirah,province,SY
SY-RA,Ar Raqqah,province,SY
SY-RD,Rīf Dimashq,province,SY
SY-SU,As Suwaydā',province,SY
SY-TA,Ţarţūs,province,SY
SZ-HH,Hhohho,district,SZ
SZ-LU,Lubombo,district,SZ
SZ-MA,Manzini,district,SZ
SZ-SH,Shiselweni,district,SZ
TC,(No regions),,TC
TD-BA,Batha,region,TD
TD-BG,Bahr el Gazel,region,TD
TD-BO,Borkou,region,TD
TD-CB,Chari-Baguirmi,region,TD
TD-EE,Ennedi-Est,region,TD
TD-EO,Ennedi-Ouest,region,TD
TD-GR,Guéra,region,TD
TD-HL,Hadjer Lamis,region,TD
TD-KA,Kanem,region,TD
TD-LC,Lac,region,TD
TD-LO,Logone-Occidental,region,TD
TD-LR,Logone-Oriental,region,TD
TD-MA,Mandoul,region,TD
TD-MC,Moyen-Chari,region,TD
TD-ME,Mayo-Kébbi-Est,region,TD
TD-MO,Mayo-Kébbi-Ouest,region,TD
TD-ND,Ville de Ndjamena,region,TD
TD-OD,Ouaddaï,region,TD
TD-SA,Salamat,region,TD
TD-SI,Sila,region,TD
TD-TA,Tandjilé,region,TD
TD-TI,Tibesti,region,TD
TD-WF,Wadi Fira,region,TD
TF,(No regions),,TF
TG-C,Centrale,region,TG
TG-K,Kara,region,TG
TG-M,Maritime,region,TG
TG-P,Plateaux,region,TG
TG-S,Savanes,region,TG
TH-10,Bangkok,metropolitan administration,TH
TH-11,Samut Prakan,province,TH
TH-12,Nonthaburi,province,TH
TH-13,Pathum Thani,province,TH
TH-14,Phra Nakhon Si Ayutthaya,province,TH
TH-15,Ang Thong,province,TH
TH-16,Lopburi,province,TH
TH-17,Sing Buri,province,TH
TH-18,Chai Nat,province,TH
TH-19,Saraburi,province,TH
TH-20,Chon Buri,province,TH
TH-21,Rayong,province,TH
TH-22,Chanthaburi,province,TH
TH-23,Trat,province,TH
TH-24,Chachoengsao,province,TH
TH-25,Prachin Buri,province,TH
TH-26,Nakhon Nayok,province,TH
TH-27,Sa Kaeo,province,TH
TH-30,Nakhon Ratchasima,province,TH
TH-31,Buriram,province,TH
TH-32,Surin,province,TH
TH-33,Sisaket,province,TH
TH-34,Ubon Ratchathani,province,TH
TH-35,Yasothon,province,TH
TH-36,Chaiyaphum,province,TH
TH-37,Amnat Charoen,province,TH
TH-38,Bueng Kan,province,TH
TH-39,Nong Bua Lam Phu,province,TH
TH-40,Khon Kaen,province,TH
TH-41,Udon Thani,province,TH
TH-42,Loei,province,TH
TH-43,Nong Khai,province,TH
TH-44,Maha Sarakham,province,TH
TH-45,Roi Et,province,TH
TH-46,Kalasin,province,TH
TH-47,Sakon Nakhon,province,TH
TH-48,Nakhon Phanom,province,TH
TH-49,Mukdahan,province,TH
TH-50,Chiang Mai,province,TH
TH-51,Lamphun,province,TH
TH-52,Lampang,province,TH
TH-53,Uttaradit,province,TH
TH-54,Phrae,province,TH
TH-55,Nan,province,TH
TH-56,Phayao,province,TH
TH-57,Chiang Rai,province,TH
TH-58,Mae Hong Son,province,TH
TH-60,Nakhon Sawan,province,TH
TH-61,Uthai Thani,province,TH
TH-62,Kamphaeng Phet,province,TH
TH-63,Tak,province,TH
TH-64,Sukhothai,province,TH
TH-65,Phitsanulok,province,TH
TH-66,Phichit,province,TH
TH-67,Phetchabun,province,TH
TH-70,Ratchaburi,province,TH
TH-71,Kanchanaburi,province,TH
TH-72,Suphan Buri,province,TH
TH-73,Nakhon Pathom,province,TH
TH-74,Samut Sakhon,province,TH
TH-75,Samut Songkhram,province,TH
TH-76,Phetchaburi,province,TH
TH-77,Prachuap Khiri Khan,province,TH
TH-80,Nakhon Si Thammarat,province,TH
TH-81,Krabi,province,TH
TH-82,Phangnga,province,TH
TH-83,Phuket,province,TH
TH-84,Surat Thani,province,TH
TH-85,Ranong,province,TH
TH-86,Chumphon,province,TH
TH-90,Songkhla,province,TH
TH-91,Satun,province,TH
TH-92,Trang,province,TH
TH-93,Phatthalung,province,TH
TH-94,Pattani,province,TH
TH-95,Yala,province,TH
TH-96,Narathiwat,province,TH
TJ-GB,Gorno-Badakhhan,autonomous region,TJ
TJ-KT,Khatlon,region,TJ
TJ-RA,Districts of Republic Subordination,districts under republic administration,TJ
TJ-SU,Sughd,region,TJ
TK,(No regions),,TK
TL-AL,Aileu,district,TL
TL-AN,Ainaro,district,TL
TL-BA,Baucau,district,TL
TL-BO,Bobonaro,district,TL
TL-CO,Cova Lima,district,TL
TL-DI,Díli,district,TL
TL-ER,Ermera,district,TL
TL-LA,Lautem,district,TL
TL-LI,Liquiça,district,TL
TL-MF,Manufahi,district,TL
TL-MT,Manatuto,district,TL
TL-OE,Oecussi,district,TL
TL-VI,Viqueque,district,TL
TM-A,Ahal,region,TM
TM-B,Balkan,region,TM
TM-D,Daşoguz,region,TM
TM-L,Lebap,region,TM
TM-M,Mary,region,TM
TM-S,Aşgabat,city,TM
TN-11,Tunis,governorate,TN
TN-12,L'Ariana,governorate,TN
TN-13,Ben Arous,governorate,TN
TN-14,La Manouba,governorate,TN
TN-21,Nabeul,governorate,TN
TN-22,Zaghouan,governorate,TN
TN-23,Bizerte,governorate,TN
TN-31,Béja,governorate,TN
TN-32,Jendouba,governorate,TN
TN-33,Le Kef,governorate,TN
TN-34,Siliana,governorate,TN
TN-41,Kairouan,governorate,TN
TN-42,Kasserine,governorate,TN
TN-43,Sidi Bouzid,governorate,TN
TN-51,Sousse,governorate,TN
TN-52,Monastir,governorate,TN
TN-53,Mahdia,governorate,TN
TN-61,Sfax,governorate,TN
TN-71,Gafsa,governorate,TN
TN-72,Tozeur,governorate,TN
TN-73,Kébili,governorate,TN
TN-81,Gabès,governorate,TN
TN-82,Médenine,governorate,TN
TN-83,Tataouine,governorate,TN
TO-01,'Eua,division,TO
TO-02,Ha'apai,division,TO
TO-03,Niuas,division,TO
TO-04,Tongatapu,division,TO
TO-05,Vava'u,division,TO
TR-01,Adana,province,TR
TR-02,Adıyaman,province,TR
TR-03,Afyonkarahisar,province,TR
TR-04,Ağrı,province,TR
TR-05,Amasya,province,TR
TR-06,Ankara,province,TR
TR-07,Antalya,province,TR
TR-08,Artvin,province,TR
TR-09,Aydın,province,TR
TR-10,Balıkesir,province,TR
TR-11,Bilecik,province,TR
TR-12,Bingöl,province,TR
TR-13,Bitlis,province,TR
TR-14,Bolu,province,TR
TR-15,Burdur,province,TR
TR-16,Bursa,province,TR
TR-17,Çanakkale,province,TR
TR-18,Çankırı,province,TR
TR-19,Çorum,province,TR
TR-20,Denizli,province,TR
TR-21,Diyarbakır,province,TR
TR-22,Edirne,province,TR
TR-23,Elazığ,province,TR
TR-24,Erzincan,province,TR
TR-25,Erzurum,province,TR
